App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
Coffee Pack,100000,2025-06-17 00:00:00 UTC,0.5,2023-12-31 00:00:00 UTC,50000
Collect Em All! Clear the Dots,1000000,2025-06-05 00:00:00 UTC,0.1,2021-10-02 00:00:00 UTC,100000
Color Clash,900000,2025-06-04 00:00:00 UTC,0.0555555555555556,2023-12-21 00:00:00 UTC,50000
Color Road!,20000,2025-06-06 00:00:00 UTC,0.05,2018-04-13 00:00:00 UTC,1000
Color Solitaire 3D,1000,2024-05-21 00:00:00 UTC,1,2022-12-30 00:00:00 UTC,1000
Combat Cruiser,100000,2025-04-21 00:00:00 UTC,0.06,2023-09-04 00:00:00 UTC,6000
Combo Clash,80000,2025-06-24 00:00:00 UTC,0.25,2024-09-05 00:00:00 UTC,20000
Command & Defend,30000,2025-05-13 00:00:00 UTC,0.333333333333333,2024-08-30 00:00:00 UTC,10000
Commuters,1000,2024-05-27 00:00:00 UTC,1,2019-12-05 00:00:00 UTC,1000
Cooking Craft,1000,2025-04-04 00:00:00 UTC,1,2021-12-03 00:00:00 UTC,1000
Crash Master 3D,10000,2024-11-26 00:00:00 UTC,0.1,2021-02-22 00:00:00 UTC,1000
Crazy Kick!,2000000,2025-06-11 00:00:00 UTC,0.0005,2019-08-30 00:00:00 UTC,1000
Create Your Style 3D,1000,2021-09-22 00:00:00 UTC,1,"",1000
Crowd Bomber,1000,2023-11-29 00:00:00 UTC,1,2020-04-24 00:00:00 UTC,1000
Crowd City,200000,2025-04-04 00:00:00 UTC,0.005,2019-02-19 00:00:00 UTC,1000
Crowd Control,1000,2020-07-31 00:00:00 UTC,1,"",1000
Crowd Master 3D,1000,2024-05-17 00:00:00 UTC,1,2020-07-15 00:00:00 UTC,1000
Cube Crusher 3D,1000,2025-06-24 00:00:00 UTC,1,2022-06-24 00:00:00 UTC,1000
Cube Surfer!,1000,2024-05-22 00:00:00 UTC,1,2020-05-25 00:00:00 UTC,1000
Cup Heroes,800000,2025-06-18 00:00:00 UTC,0.375,2024-02-07 00:00:00 UTC,300000
Curvy Punch 3D,30000,2025-01-16 00:00:00 UTC,0.0333333333333333,2020-06-25 00:00:00 UTC,1000
Deliver It 3D,30000,2025-01-13 00:00:00 UTC,0.0333333333333333,2022-03-16 00:00:00 UTC,1000
Demolish!,1000,2024-05-21 00:00:00 UTC,1,2020-09-16 00:00:00 UTC,1000
Destiny Run,200000,2024-08-07 00:00:00 UTC,0.005,2021-06-30 00:00:00 UTC,1000
Dice Push,20000,2025-03-26 00:00:00 UTC,0.05,2021-03-18 00:00:00 UTC,1000
Dig This 2,1000,2024-10-04 00:00:00 UTC,1,2022-11-03 00:00:00 UTC,1000
Dodgeball Duel,1000,2020-09-17 00:00:00 UTC,1,2019-02-27 00:00:00 UTC,1000
Dolls Stack: Match & Merge!,1000,2024-06-05 00:00:00 UTC,1,2023-05-02 00:00:00 UTC,1000
Double Drift,400000,2025-06-13 00:00:00 UTC,0.0025,2023-07-20 00:00:00 UTC,1000
Double Money,600000,2025-04-21 00:00:00 UTC,0.00166666666666667,2022-05-13 00:00:00 UTC,1000
Downhill Chill,1000,2022-05-18 00:00:00 UTC,1,2020-01-13 00:00:00 UTC,1000
Draw & Break It!,40000,2025-04-09 00:00:00 UTC,0.025,2022-05-18 00:00:00 UTC,1000
Draw Car 3D,1000,2023-03-01 00:00:00 UTC,1,2019-10-14 00:00:00 UTC,1000
Draw Climber,200000,2025-06-09 00:00:00 UTC,0.005,2020-01-31 00:00:00 UTC,1000
Draw Joust!,800000,2025-04-07 00:00:00 UTC,0.00125,2020-04-07 00:00:00 UTC,1000
Draw Rail,1000,2023-12-21 00:00:00 UTC,1,2022-01-26 00:00:00 UTC,1000
Dribble Hoops,50000,2025-06-23 00:00:00 UTC,0.02,2020-03-26 00:00:00 UTC,1000
Drone Strike Military War 3D,200000,2025-06-20 00:00:00 UTC,0.05,2022-05-26 00:00:00 UTC,10000
Drop & Sort Jellyfish,1000,2024-11-27 00:00:00 UTC,1,2024-05-15 00:00:00 UTC,1000
Dune!,70000,2025-06-25 00:00:00 UTC,0.0142857142857143,2017-10-26 00:00:00 UTC,1000
Dunk Hit,1000,2024-05-27 00:00:00 UTC,1,2017-10-20 00:00:00 UTC,1000
Dusk WarZ,1000,2024-06-07 00:00:00 UTC,1,2023-03-18 00:00:00 UTC,1000
Epic Plane Evolution,2000000,2025-06-24 00:00:00 UTC,0.05,2024-08-02 00:00:00 UTC,100000
Extrator de ventosa,1000,2024-05-22 00:00:00 UTC,1,2021-03-23 00:00:00 UTC,1000
Fail Run,200000,2025-04-10 00:00:00 UTC,0.005,2021-02-15 00:00:00 UTC,1000
Farmers.io,1000,2024-05-28 00:00:00 UTC,1,2019-11-19 00:00:00 UTC,1000
Fashion Universe,30000,2024-06-03 00:00:00 UTC,0.0333333333333333,2022-12-07 00:00:00 UTC,1000
Fat 2 Fit!,1000,2023-07-31 00:00:00 UTC,1,2021-05-18 00:00:00 UTC,1000
Fight List,9000,2025-04-08 00:00:00 UTC,0.111111111111111,2016-06-08 00:00:00 UTC,1000
Fill Shikaku,1000,2025-01-23 00:00:00 UTC,1,2022-09-29 00:00:00 UTC,1000
Final Survivor,1000,2024-06-05 00:00:00 UTC,1,2023-07-25 00:00:00 UTC,1000
Fire Balls 3D,1000,2024-05-31 00:00:00 UTC,1,2018-11-05 00:00:00 UTC,1000
Fire Rides,1000,2020-12-14 00:00:00 UTC,1,2017-11-23 00:00:00 UTC,1000
Five Hoops - Basketball Game,1000,2024-05-22 00:00:00 UTC,1,2019-11-16 00:00:00 UTC,1000
Five Kicks,1000,2020-01-23 00:00:00 UTC,1,2020-01-23 00:00:00 UTC,1000
Flag Painters,90000,2025-04-07 00:00:00 UTC,0.0111111111111111,2021-10-27 00:00:00 UTC,1000
Flappy Dunk,400000,2025-06-05 00:00:00 UTC,0.0025,2017-07-10 00:00:00 UTC,1000
Flex Run 3D,1000,2024-05-31 00:00:00 UTC,1,2022-09-26 00:00:00 UTC,1000
Flip Dunk,1000,2025-03-26 00:00:00 UTC,1,2019-07-02 00:00:00 UTC,1000
Flying Arrow,1000,2025-04-03 00:00:00 UTC,1,2018-05-03 00:00:00 UTC,1000
Flying Cut,60000,2025-01-08 00:00:00 UTC,0.0166666666666667,2022-12-07 00:00:00 UTC,1000
Follow Up 3D,1000,2024-05-21 00:00:00 UTC,1,2021-06-30 00:00:00 UTC,1000
Force Master,1000,2025-01-21 00:00:00 UTC,1,2020-09-30 00:00:00 UTC,1000
Fort Guardian,300000,2025-06-18 00:00:00 UTC,0.166666666666667,2025-03-11 00:00:00 UTC,50000
Gas Empire,1000,2024-06-03 00:00:00 UTC,1,2022-01-20 00:00:00 UTC,1000
Gear Fight!,200000,2025-06-17 00:00:00 UTC,0.15,2025-02-05 00:00:00 UTC,30000
Go Plane,1000,2025-05-12 00:00:00 UTC,1,2017-12-19 00:00:00 UTC,1000
Gobble Dash,1000,2019-06-04 00:00:00 UTC,1,2019-06-04 00:00:00 UTC,1000
Golf Guys,20000,2025-03-10 00:00:00 UTC,0.05,2022-10-31 00:00:00 UTC,1000
Goo Fighter,1000,2025-01-06 00:00:00 UTC,1,2022-03-16 00:00:00 UTC,1000
Good Slice,20000,2025-05-22 00:00:00 UTC,0.05,2020-05-29 00:00:00 UTC,1000
Grass Reaper,1000,2022-10-25 00:00:00 UTC,1,2022-02-28 00:00:00 UTC,1000
Gravity Noodle,6000,2025-01-10 00:00:00 UTC,0.166666666666667,2021-05-04 00:00:00 UTC,1000
Gunship Operator 3D,20000,2024-05-23 00:00:00 UTC,0.05,2023-02-10 00:00:00 UTC,1000
Hair Rush,1000,2024-06-05 00:00:00 UTC,1,2022-12-07 00:00:00 UTC,1000
Handy Craft,1000,2025-04-23 00:00:00 UTC,1,2021-09-02 00:00:00 UTC,1000
Heisting,1000,2025-02-10 00:00:00 UTC,1,2022-12-21 00:00:00 UTC,1000
Helix Jump,400000,2025-04-27 00:00:00 UTC,0.0025,2018-03-12 00:00:00 UTC,1000
Hex Takeover,1000,2024-12-30 00:00:00 UTC,1,2022-01-28 00:00:00 UTC,1000
Hex Warriors,20000,2025-06-24 00:00:00 UTC,0.35,2024-12-11 00:00:00 UTC,7000
Hexa Coin,1000,"",1,"",1000
Hexa Pop!,1000,2017-05-24 00:00:00 UTC,1,"",1000
HexaBlast Puzzle - Sort Colors,1000,2025-01-21 00:00:00 UTC,1,2024-03-13 00:00:00 UTC,1000
HexaCoin Harmony - Merge tiles,1000,2025-02-13 00:00:00 UTC,1,2024-06-26 00:00:00 UTC,1000
Hole.io,11000000,2025-06-20 00:00:00 UTC,0.00727272727272727,2018-06-21 00:00:00 UTC,80000
Idle Balls,1000,2021-07-31 00:00:00 UTC,1,2017-10-06 00:00:00 UTC,1000
Idle Flipper,1000,2020-11-12 00:00:00 UTC,1,2018-02-22 00:00:00 UTC,1000
Infantry Attack: War 3D FPS,100000,2025-06-22 00:00:00 UTC,0.2,2022-12-13 00:00:00 UTC,20000
Jump Dunk 3D,200000,2025-06-23 00:00:00 UTC,0.005,2020-12-04 00:00:00 UTC,1000
Jumpero,1000,2020-11-26 00:00:00 UTC,1,2020-08-19 00:00:00 UTC,1000
Keep it alive!,1000,2018-11-15 00:00:00 UTC,1,2018-02-28 00:00:00 UTC,1000
Knock Balls,1000,2025-03-06 00:00:00 UTC,1,2018-09-21 00:00:00 UTC,1000
Knock'em All,5000,2025-03-06 00:00:00 UTC,0.2,2020-03-19 00:00:00 UTC,1000
Ladder Race,1000,2024-05-23 00:00:00 UTC,1,2020-10-26 00:00:00 UTC,1000
Last Survivor : Shooter Hero,1000,2024-09-27 00:00:00 UTC,1,2023-10-20 00:00:00 UTC,1000
Leaf Blower 3D,1000,2019-10-23 00:00:00 UTC,1,2019-09-12 00:00:00 UTC,1000
Left Turn!,10000,2025-04-07 00:00:00 UTC,0.1,2022-12-07 00:00:00 UTC,1000
Lig,1000,2021-08-17 00:00:00 UTC,1,"",1000
Line Blast!,1000,2022-01-26 00:00:00 UTC,1,"",1000
Lumbercraft,1000,2024-10-18 00:00:00 UTC,1,2021-01-05 00:00:00 UTC,1000
Make it perfect,1000,2021-03-16 00:00:00 UTC,1,2020-02-25 00:00:00 UTC,1000
Match Balloons 3D!,1000,2025-04-25 00:00:00 UTC,1,2024-10-17 00:00:00 UTC,1000
Match People 3D,1000,2021-07-16 00:00:00 UTC,1,2021-06-15 00:00:00 UTC,1000
Melt and Fill,7000,2024-12-03 00:00:00 UTC,0.142857142857143,2023-01-23 00:00:00 UTC,1000
Merge and Blast,1000,2023-01-25 00:00:00 UTC,1,2022-10-24 00:00:00 UTC,1000
Merge Art Puzzle,1000,2024-05-22 00:00:00 UTC,1,2023-03-09 00:00:00 UTC,1000
Merge Craze: Merge & Design,1000,2024-08-13 00:00:00 UTC,1,2024-07-19 00:00:00 UTC,1000
Merge Grabber,1000,2025-04-24 00:00:00 UTC,1,2022-07-06 00:00:00 UTC,1000
Milk Crate Master,1000,2021-09-24 00:00:00 UTC,1,"",1000
Mingle IRL - Meet people,1000,2025-05-14 00:00:00 UTC,1,"",1000
Miraculous Squad,1000,2024-05-21 00:00:00 UTC,1,2023-12-21 00:00:00 UTC,1000
Mister Punch,1000,2020-08-22 00:00:00 UTC,1,2020-07-28 00:00:00 UTC,1000
Mob Control,6000000,2025-06-25 00:00:00 UTC,0.15,2021-05-12 00:00:00 UTC,900000
Mob Jam,1000,2025-05-08 00:00:00 UTC,1,2024-10-10 00:00:00 UTC,1000
Moneygun Run!,1000,2024-01-14 00:00:00 UTC,1,2022-04-14 00:00:00 UTC,1000
Monster Survivors,400000,2025-06-06 00:00:00 UTC,0.5,2023-10-08 00:00:00 UTC,200000
Moon Pioneer,9000,2024-05-24 00:00:00 UTC,0.111111111111111,2022-12-07 00:00:00 UTC,1000
Move House 3D,1000,2024-06-03 00:00:00 UTC,1,2022-12-08 00:00:00 UTC,1000
Mr Cactus,1000,2025-01-23 00:00:00 UTC,1,2024-07-23 00:00:00 UTC,1000
Multi Card Jam,1000,2024-12-12 00:00:00 UTC,1,2024-09-14 00:00:00 UTC,1000
Neon Wings,1000,2025-06-22 00:00:00 UTC,1,2025-05-30 00:00:00 UTC,1000
Net Fishing!,9000,2024-11-15 00:00:00 UTC,0.111111111111111,2022-09-23 00:00:00 UTC,1000
Number Connect!,1000,2024-04-05 00:00:00 UTC,1,2022-08-31 00:00:00 UTC,1000
Oilman,10000,2024-05-26 00:00:00 UTC,0.1,2022-12-08 00:00:00 UTC,1000
Outdo.io 3D,7000,2024-05-21 00:00:00 UTC,0.142857142857143,2022-04-04 00:00:00 UTC,1000
Pack Hunter,1000,2023-03-08 00:00:00 UTC,1,2023-01-30 00:00:00 UTC,1000
Pair Em All,1000,2022-02-16 00:00:00 UTC,1,"",1000
Pancake Run,1000,2025-05-13 00:00:00 UTC,1,2021-06-08 00:00:00 UTC,1000
Paper.io,10000,2024-05-27 00:00:00 UTC,0.1,2016-11-25 00:00:00 UTC,1000
Paper.io 2,8000000,2025-06-25 00:00:00 UTC,0.005,2018-09-13 00:00:00 UTC,40000
Paper.io 3D,100000,2025-06-23 00:00:00 UTC,0.01,2020-01-08 00:00:00 UTC,1000
Paper.io 4,300000,2024-12-04 00:00:00 UTC,0.00333333333333333,2022-06-27 00:00:00 UTC,1000
Pause N' Cross,1000,2021-11-16 00:00:00 UTC,1,2021-10-09 00:00:00 UTC,1000
Pegher.io: Zombie Survivor,1000,2024-04-08 00:00:00 UTC,1,2023-05-16 00:00:00 UTC,1000
Perfect Hit . . .,1000,2024-05-21 00:00:00 UTC,1,2018-08-29 00:00:00 UTC,1000
Pick The Gold,1000,2018-11-12 00:00:00 UTC,1,2018-10-11 00:00:00 UTC,1000
Pill Fortress,1000,2024-12-12 00:00:00 UTC,1,2024-03-26 00:00:00 UTC,1000
Pillow Launcher,1000,2022-04-22 00:00:00 UTC,1,2022-04-07 00:00:00 UTC,1000
